Key,Value
about,"This CSV contains text records for Convenient Quest Log mod."
untitledQuest,"Untitled Quest"
activeQuestToolTipText,"Click on a quest mesage to go back to Active Quests."
journalToolTipText,"Click on a quest for quest information. Click on a location to travel there."
cancelMainStory,"You cannot cancel main story quests."
cancelOneTime,"You cannot cancel one time quests."
areYouSure,"Are you sure you want to cancel {0}?"
currentLocation,"Current location"
travelOptionsDuration,"{0} hours {1} mins travel"
travelDuration,"{0} days travel"
durationSearchToken,"_ day"
day,"day"
days,"days"
questTimeLimitFormat,"{0} ({1} {2} left)"
questTimeLimitExtendedFormat,"{0} ({1} {2} {3:00}:{4:00} left)"
